source,type,action,target,weight
1629490888727560197,Tweet-Directed,quote,,1
1629490888727560197,Tweet-Directed,retweet,1629489918039801857,1
1629490888727560197,Tweet-Directed,reply,,1
1627920803193929728,Tweet-Directed,quote,,1
1627920803193929728,Tweet-Directed,retweet,,1
1627920803193929728,Tweet-Directed,reply,1627270962801508353,1
1629562953421783040,Tweet-Directed,quote,,1
1629562953421783040,Tweet-Directed,retweet,1629555552685641729,1
1629562953421783040,Tweet-Directed,reply,,1
1629216820816187396,Tweet-Directed,quote,,1
1629216820816187396,Tweet-Directed,retweet,1629215361655513091,1
1629216820816187396,Tweet-Directed,reply,,1
1627523212107038720,Tweet-Directed,quote,,1
1627523212107038720,Tweet-Directed,retweet,1627393694599987200,1
1627523212107038720,Tweet-Directed,reply,,1
1627654346585391104,Tweet-Directed,quote,,1
1627654346585391104,Tweet-Directed,retweet,1627637013749940225,1
1627654346585391104,Tweet-Directed,reply,,1
1628883468800167941,Tweet-Directed,quote,,1
1628883468800167941,Tweet-Directed,retweet,1628812802738593792,1
1628883468800167941,Tweet-Directed,reply,,1
1626878909663830016,Tweet-Directed,quote,,1
1626878909663830016,Tweet-Directed,retweet,,1
1626878909663830016,Tweet-Directed,reply,1626875981070737409,1
1628785672373907456,Tweet-Directed,quote,,1
1628785672373907456,Tweet-Directed,retweet,1628756482383650816,1
1628785672373907456,Tweet-Directed,reply,,1
1627257337256849411,Tweet-Directed,quote,,1
1627257337256849411,Tweet-Directed,retweet,1627252056909119490,1
1627257337256849411,Tweet-Directed,reply,,1
1629931915489820675,Tweet-Directed,quote,,1
1629931915489820675,Tweet-Directed,retweet,1629804643382439938,1
1629931915489820675,Tweet-Directed,reply,,1
1629414951881170944,Tweet-Directed,quote,,1
1629414951881170944,Tweet-Directed,retweet,1629383719847862274,1
1629414951881170944,Tweet-Directed,reply,,1
1628530218079072257,Tweet-Directed,quote,,1
1628530218079072257,Tweet-Directed,retweet,1628512900909334528,1
1628530218079072257,Tweet-Directed,reply,,1
1627651833773625345,Tweet-Directed,quote,,1
1627651833773625345,Tweet-Directed,retweet,1627582222961201152,1
1627651833773625345,Tweet-Directed,reply,,1
1630501946225225728,Tweet-Directed,quote,,1
1630501946225225728,Tweet-Directed,retweet,1630498465653334016,1
1630501946225225728,Tweet-Directed,reply,,1
1630511940463214594,Tweet-Directed,quote,,1
1630511940463214594,Tweet-Directed,retweet,1630504749530324993,1
1630511940463214594,Tweet-Directed,reply,,1
1629366580126658563,Tweet-Directed,quote,,1
1629366580126658563,Tweet-Directed,retweet,1629355545151897600,1
1629366580126658563,Tweet-Directed,reply,,1
1626960536008069122,Tweet-Directed,quote,1626072549607018496,1
1626960536008069122,Tweet-Directed,retweet,,1
1626960536008069122,Tweet-Directed,reply,1626676350592376832,1
1627295282974138368,Tweet-Directed,quote,1626559458871590915,1
1627295282974138368,Tweet-Directed,retweet,1626563270604894209,1
1627295282974138368,Tweet-Directed,reply,,1
1627659552454762496,Tweet-Directed,quote,,1
1627659552454762496,Tweet-Directed,retweet,1627594269862109184,1
1627659552454762496,Tweet-Directed,reply,,1
1628039259897593857,Tweet-Directed,quote,,1
1628039259897593857,Tweet-Directed,retweet,1627980717085929476,1
1628039259897593857,Tweet-Directed,reply,,1
1628651911460052994,Tweet-Directed,quote,,1
1628651911460052994,Tweet-Directed,retweet,1628610960888852483,1
1628651911460052994,Tweet-Directed,reply,,1
1627055835661860865,Tweet-Directed,quote,1626887881456291840,1
1627055835661860865,Tweet-Directed,retweet,,1
1627055835661860865,Tweet-Directed,reply,,1
1630108396576710656,Tweet-Directed,quote,,1
1630108396576710656,Tweet-Directed,retweet,1629953311976701954,1
1630108396576710656,Tweet-Directed,reply,,1
1629269227357065216,Tweet-Directed,quote,,1
1629269227357065216,Tweet-Directed,retweet,,1
1629269227357065216,Tweet-Directed,reply,,1
1627988256456335361,Tweet-Directed,quote,1627413454536552448,1
1627988256456335361,Tweet-Directed,retweet,1627923399946166272,1
1627988256456335361,Tweet-Directed,reply,,1
1628640502034624514,Tweet-Directed,quote,,1
1628640502034624514,Tweet-Directed,retweet,1628285612938731521,1
1628640502034624514,Tweet-Directed,reply,,1
1629507453783101441,Tweet-Directed,quote,,1
1629507453783101441,Tweet-Directed,retweet,1629491530946732032,1
1629507453783101441,Tweet-Directed,reply,,1
1629536057376030721,Tweet-Directed,quote,1629504433057943552,1
1629536057376030721,Tweet-Directed,retweet,1629519047862677504,1
1629536057376030721,Tweet-Directed,reply,,1
1628058507105673224,Tweet-Directed,quote,,1
1628058507105673224,Tweet-Directed,retweet,1628001123272646656,1
1628058507105673224,Tweet-Directed,reply,,1
1627205271679299584,Tweet-Directed,quote,,1
1627205271679299584,Tweet-Directed,retweet,1627179021917208578,1
1627205271679299584,Tweet-Directed,reply,,1
1628357508262768640,Tweet-Directed,quote,,1
1628357508262768640,Tweet-Directed,retweet,,1
1628357508262768640,Tweet-Directed,reply,1628316093747019777,1
1629567615449329666,Tweet-Directed,quote,,1
1629567615449329666,Tweet-Directed,retweet,1629517617168801793,1
1629567615449329666,Tweet-Directed,reply,,1
1628753173442662400,Tweet-Directed,quote,,1
1628753173442662400,Tweet-Directed,retweet,1628654808923004928,1
1628753173442662400,Tweet-Directed,reply,,1
1628860040835629059,Tweet-Directed,quote,,1
1628860040835629059,Tweet-Directed,retweet,1628857930723299329,1
1628860040835629059,Tweet-Directed,reply,,1
1627661458464026625,Tweet-Directed,quote,,1
1627661458464026625,Tweet-Directed,retweet,1627660255264923651,1
1627661458464026625,Tweet-Directed,reply,,1
1628443643135807497,Tweet-Directed,quote,1628316315319693312,1
1628443643135807497,Tweet-Directed,retweet,1628322337996013569,1
1628443643135807497,Tweet-Directed,reply,,1
1627561806922129410,Tweet-Directed,quote,,1
1627561806922129410,Tweet-Directed,retweet,1627305562533765120,1
1627561806922129410,Tweet-Directed,reply,,1
1630617303480954880,Tweet-Directed,quote,,1
1630617303480954880,Tweet-Directed,retweet,1630589937819975681,1
1630617303480954880,Tweet-Directed,reply,,1
1629114529643696128,Tweet-Directed,quote,,1
1629114529643696128,Tweet-Directed,retweet,1629033955860127746,1
1629114529643696128,Tweet-Directed,reply,,1
1627274350377271298,Tweet-Directed,quote,,1
1627274350377271298,Tweet-Directed,retweet,1627242099962683392,1
1627274350377271298,Tweet-Directed,reply,,1
1629726912791691264,Tweet-Directed,quote,,1
1629726912791691264,Tweet-Directed,retweet,1629650775621226496,1
1629726912791691264,Tweet-Directed,reply,,1
1628768484174749697,Tweet-Directed,quote,,1
1628768484174749697,Tweet-Directed,retweet,1628735187893755908,1
1628768484174749697,Tweet-Directed,reply,,1
1629307860088766466,Tweet-Directed,quote,,1
1629307860088766466,Tweet-Directed,retweet,,1
1629307860088766466,Tweet-Directed,reply,,1
1627891575605940224,Tweet-Directed,quote,,1
1627891575605940224,Tweet-Directed,retweet,1627746761149190163,1
1627891575605940224,Tweet-Directed,reply,,1
1627926263959625729,Tweet-Directed,quote,,1
1627926263959625729,Tweet-Directed,retweet,1627904453582938115,1
1627926263959625729,Tweet-Directed,reply,,1
1629154260624592896,Tweet-Directed,quote,,1
1629154260624592896,Tweet-Directed,retweet,1629153174928883714,1
1629154260624592896,Tweet-Directed,reply,,1
